commonName,binomial,number,location,date,time ,protocol,distance(kms),notes,,,
Black-throated Blue Warbler ,Setophaga caerulescens,5,"46.5918x-85.2615 - May 19, 2017, 10:38 AM, Luce, Michigan, US",19-May-17,8:02 AM - 3:32 PM,Traveling,4.828,,,,
Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,4,"46.5918x-85.2615 - May 19, 2017, 10:38 AM, Luce, Michigan, US",19-May-17,8:02 AM - 3:32 PM,Traveling,4.828,,,,
Black-throated Green Warbler ,Setophaga virens,8,"46.5918x-85.2615 - May 19, 2017, 10:38 AM, Luce, Michigan, US",19-May-17,8:02 AM - 3:32 PM,Traveling,4.828,,,,
Purple Finch ,Haemorhous purpureus,3,"46.5918x-85.2615 - May 19, 2017, 10:38 AM, Luce, Michigan, US",19-May-17,8:02 AM - 3:32 PM,Traveling,4.828,,,,
Pine Siskin ,Spinus pinus,2,"46.5918x-85.2615 - May 19, 2017, 10:38 AM, Luce, Michigan, US",19-May-17,8:02 AM - 3:32 PM,Traveling,4.828,,,,
American Goldfinch ,Spinus tristis,3,"46.5918x-85.2615 - May 19, 2017, 10:38 AM, Luce, Michigan, US",19-May-17,8:02 AM - 3:32 PM,Traveling,4.828,,,,
Ruffed Grouse ,Bonasa umbellus,2,"US-MI-McMillan-49868 - 46.5752x-85.6091, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Red-shouldered Hawk ,Buteo lineatus,1,"US-MI-McMillan-49868 - 46.5752x-85.6092, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Broad-winged Hawk ,Buteo platypterus,1,"US-MI-McMillan-49868 - 46.5752x-85.6093, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
American Woodcock ,Scolopax minor,1,"US-MI-McMillan-49868 - 46.5752x-85.6094, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,Flushed off nest. Small depression in ground lined with small twigs. Four eggs seen. Located in a relatively open hardwood forest.,,,
Ruby-throated Hummingbird ,Archilochus colubris,2,"US-MI-McMillan-49868 - 46.5752x-85.6095, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Yellow-bellied Sapsucker ,Sphyrapicus varius,3,"US-MI-McMillan-49868 - 46.5752x-85.6096, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Downy Woodpecker ,Picoides pubescens,1,"US-MI-McMillan-49868 - 46.5752x-85.6097, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Hairy Woodpecker ,Picoides villosus,1,"US-MI-McMillan-49868 - 46.5752x-85.6098, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Northern Flicker ,Colaptes auratus,2,"US-MI-McMillan-49868 - 46.5752x-85.6099, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Pileated Woodpecker ,Dryocopus pileatus,1,"US-MI-McMillan-49868 - 46.5752x-85.6100, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Least Flycatcher ,Empidonax minimus,5,"US-MI-McMillan-49868 - 46.5752x-85.6101, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Red-eyed Vireo ,Vireo olivaceus,2,"US-MI-McMillan-49868 - 46.5752x-85.6102, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Blue Jay ,Cyanocitta cristata,3,"US-MI-McMillan-49868 - 46.5752x-85.6103, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
American Crow ,Corvus brachyrhynchos,2,"US-MI-McMillan-49868 - 46.5752x-85.6104, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Black-capped Chickadee ,Poecile atricapillus,4,"US-MI-McMillan-49868 - 46.5752x-85.6105, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Red-breasted Nuthatch ,Sitta canadensis,2,"US-MI-McMillan-49868 - 46.5752x-85.6106, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Hermit Thrush ,Catharus guttatus,3,"US-MI-McMillan-49868 - 46.5752x-85.6107, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
American Robin ,Turdus migratorius,3,"US-MI-McMillan-49868 - 46.5752x-85.6108, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Ovenbird ,Seiurus aurocapilla,3,"US-MI-McMillan-49868 - 46.5752x-85.6109, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Black-and-white Warbler ,Mniotilta varia,2,"US-MI-McMillan-49868 - 46.5752x-85.6110, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Tennessee Warbler ,Oreothlypis peregrina,1,"US-MI-McMillan-49868 - 46.5752x-85.6111, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Nashville Warbler ,Oreothlypis ruficapilla,2,"US-MI-McMillan-49868 - 46.5752x-85.6112, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
American Redstart ,Setophaga ruticilla,4,"US-MI-McMillan-49868 - 46.5752x-85.6113, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Northern Parula ,Setophaga americana,4,"US-MI-McMillan-49868 - 46.5752x-85.6114, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Magnolia Warbler ,Setophaga magnolia,1,"US-MI-McMillan-49868 - 46.5752x-85.6115, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Bay-breasted Warbler ,Setophaga castanea,2,"US-MI-McMillan-49868 - 46.5752x-85.6116, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Blackburnian Warbler ,Setophaga fusca,2,"US-MI-McMillan-49868 - 46.5752x-85.6117, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Chestnut-sided Warbler ,Setophaga pensylvanica,2,"US-MI-McMillan-49868 - 46.5752x-85.6118, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Black-throated Blue Warbler ,Setophaga caerulescens,3,"US-MI-McMillan-49868 - 46.5752x-85.6119, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,4,"US-MI-McMillan-49868 - 46.5752x-85.6120, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Black-throated Green Warbler ,Setophaga virens,3,"US-MI-McMillan-49868 - 46.5752x-85.6121, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Scarlet Tanager ,Piranga olivacea,2,"US-MI-McMillan-49868 - 46.5752x-85.6122, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Rose-breasted Grosbeak ,Pheucticus ludovicianus,3,"US-MI-McMillan-49868 - 46.5752x-85.6123, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Red-winged Blackbird ,Agelaius phoeniceus,1,"US-MI-McMillan-49868 - 46.5752x-85.6124, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Purple Finch ,Haemorhous purpureus,3,"US-MI-McMillan-49868 - 46.5752x-85.6125, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Pine Siskin ,Spinus pinus,2,"US-MI-McMillan-49868 - 46.5752x-85.6126, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
American Goldfinch ,Spinus tristis,3,"US-MI-McMillan-49868 - 46.5752x-85.6127, Luce, Michigan, US",20-May-17,9:47 AM - 6:57 PM,Traveling,8.047,,,,
Mallard ,Anas platyrhynchos,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Ruffed Grouse ,Bonasa umbellus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
American Woodcock ,Scolopax minor,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Yellow-bellied Sapsucker ,Sphyrapicus varius,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Downy Woodpecker ,Picoides pubescens,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Northern Flicker (Yellw-Shafted),Colaptes auratus auratus/luteus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Pileated Woodpecker ,Dryocopus pileatus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Eastern Phoebe ,Sayornis phoebe,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Blue-headed Vireo ,Vireo solitarius,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Red-eyed Vireo ,Vireo olivaceus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Blue Jay ,Cyanocitta cristata,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
American Crow ,Corvus brachyrhynchos,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Common Raven ,Corvus corax,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Black-capped Chickadee ,Poecile atricapillus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Red-breasted Nuthatch ,Sitta canadensis,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Winter Wren ,Troglodytes hiemalis,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
