ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
5769,3,2,17,2,3,VEER,M,S,2,0,0,Stuart Lake,16-Jun-12,7:08
2408,3,2,18,2,6,REVI,M,S,2,0,1,Beaver Basin,02-Jul-10,6:25
4243,3,2,18,2,6,EAWP,M,S,1,0,0,Beaver Basin,24-Jun-11,6:18
7323,3,2,18,2,5,RBGR,U,C,1,1,0,Beaver Basin,22-Jun-12,6:48
1205,3,2,18,1,3,REVI,M,S,1,0,1,Spotted Hardwood,23-Jun-10,5:03
4072,3,2,18,3,6,REVI,M,S,1,0,1,Spotted Hardwood,21-Jun-11,7:54
5872,3,2,18,2,5,AMRE,M,S,1,1,0,Spotted Hardwood,16-Jun-12,5:46
815,3,2,18,2,5,BTNW,M,S,2,1,1,Stuart Lake,18-Jun-10,6:32
3574,3,2,18,2,5,AMRE,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5770,3,2,18,2,4,BTNW,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
2409,3,2,19,2,6,AMRE,U,C,1,0,0,Beaver Basin,02-Jul-10,6:25
4244,3,2,19,3,6,AMGO,M,S,1,0,0,Beaver Basin,24-Jun-11,6:18
7324,3,2,19,2,5,AMRO,U,C,2,1,0,Beaver Basin,22-Jun-12,6:48
1206,3,2,19,1,3,REVI,M,S,2,0,1,Spotted Hardwood,23-Jun-10,5:03
4073,3,2,19,3,7,REVI,M,S,2,0,1,Spotted Hardwood,21-Jun-11,7:54
5873,3,2,19,2,6,BCCH,M,S,2,0,0,Spotted Hardwood,16-Jun-12,5:46
816,3,2,19,2,6,AMRO,M,S,2,1,0,Stuart Lake,18-Jun-10,6:32
3575,3,2,19,2,5,BTBW,M,S,1,0,0,Stuart Lake,17-Jun-11,7:24
5771,3,2,19,2,4,RBGR,U,C,1,0,0,Stuart Lake,16-Jun-12,7:08
2410,3,2,20,3,7,AMGO,M,S,1,1,0,Beaver Basin,02-Jul-10,6:25
